   1	-1.199	-1.063	 0.511		  2  3  4
   2	0.112	-1.364	 0.887		  1  5  6
   3	-1.098	 0.15 	 1.196		  1  6  7
   4	-1.223	-0.808	-0.825		  1  8  9
   5	0.963	-1.206	-0.247		  2  9  10
   6	0.171	-0.203	 1.661		  2  11  3
   7	-0.963	 1.206	 0.247		  3  12  8
   8	-1.137	 0.572	-1.019		  4  7  13
   9	0.073	-0.942	-1.329		  4  13  5
  10	1.63 	 0.035	-0.022		  5  14  11
  11	1.087	 0.64 	 1.113		  6  10  12
  12	0.421	 1.549	 0.288		  7  11  14
  13	0.113	 0.422	-1.624		  8  14  9
  14	1.052	 1.012	-0.836		  10  13  12
