   1		 3.422	 0    		-1.853	-1.129	 0.518		  12  13  2
   2		 1.711	-2.964		-0.719	-1.679	 1.121		  1  3  21
   3		-1.712	-2.964		 0.347	-2.173	 0.365		  2  19  4
   4		-1.256	-2.199		 1.517	-1.607	 0.87 		  3  5  22
   5		-1.72 	-0.993		 2.244	-1.065	-0.156		  4  18  6
   6		-1.042	-0.602		 2.357	 0.281	 0.069		  5  7  23
   7		-1.06 	 0.435		 1.751	 0.981	-0.973		  6  17  8
   8		-0.297	 0.516		 0.88 	 1.912	-0.401		  7  9  24
   9		 0.154	 1.136		-0.449	 2.026	-0.82 		  8  15  10
  10		 1.043	 0.602		-1.25 	 1.994	 0.321		  9  11  25
  11		 1.721	 0.993		-2.244	 1.065	 0.156		  10  14  12
  12		 2.531	-0.016		-2.091	 0.105	 1.122		  11  1  26
  13		 1.711	 2.964		-1.84 	-0.894	-0.89 		  1  14  20
  14		 1.253	 2.2  		-2.07 	 0.47 	-1.065		  13  11  15
  15		-0.025	 1.947		-0.977	 1.044	-1.712		  14  9  16
  16		-1.247	 2.164		-0.148	 0.003	-2.138		  15  17  20
  17		-1.672	 0.997		 1.223	 0    	-1.866		  16  7  18
  18		-2.529	 0.016		 1.537	-1.243	-1.316		  17  5  19
  19		-3.423	 0    		 0.36 	-1.938	-1.044		  18  3  20
  20		-1.712	 2.964		-0.693	-1.222	-1.619		  19  13  16
  21		 1.249	-2.164		-0.187	-0.691	 2.02 		  2  22  26
  22		 0.025	-1.947		 1.188	-0.609	 1.787		  21  4  23
  23		-0.155	-1.137		 1.73 	 0.607	 1.271		  22  6  24
  24		 0.298	-0.518		 0.866	 1.676	 1.017		  23  8  25
  25		 1.06 	-0.435		-0.47 	 1.651	 1.425		  24  10  26
  26		 1.672	-0.996		-1.011	 0.435	 1.94 		  25  12  21
