   1		 1.954	-1.096		-0.307	-1.942	-1.531		  12  13  2
   2		 2.79 	 0.015		-0.837	-2.173	-0.255		  1  3  25
   3		 1.918	 1.11 		-0.048	-2.028	 0.921		  2  21  4
   4		 1.404	 2.411		-0.839	-1.238	 1.803		  3  5  26
   5		 0.022	 2.24 		-0.312	-0.124	 2.469		  4  19  6
   6		-1.406	 2.434		-1.098	 0.963	 2.115		  5  7  27
   7		-1.952	 1.098		-0.308	 1.942	 1.53 		  6  18  8
   8		-2.79 	-0.013		-0.833	 2.175	 0.252		  7  9  28
   9		-1.917	-1.112		-0.04 	 2.028	-0.921		  8  16  10
  10		-1.402	-2.413		-0.83 	 1.24 	-1.806		  9  11  29
  11		-0.019	-2.24 		-0.303	 0.125	-2.47 		  10  14  12
  12		 1.409	-2.433		-1.094	-0.96 	-2.119		  11  1  30
  13		 1.238	-0.932		 1.004	-1.547	-1.66 		  1  14  22
  14		 0.194	-1.538		 1.006	-0.236	-2.256		  13  11  15
  15		-0.459	-1.063		 1.848	 0.561	-1.503		  14  16  23
  16		-1.304	-0.756		 1.348	 1.687	-0.765		  15  9  17
  17		-1.151	 0.13 		 1.845	 1.502	 0.57 		  16  18  24
  18		-1.239	 0.933		 1.002	 1.544	 1.664		  17  7  19
  19		-0.193	 1.538		 0.999	 0.234	 2.259		  18  5  20
  20		 0.456	 1.062		 1.841	-0.565	 1.509		  19  21  24
  21		 1.299	 0.755		 1.341	-1.69 	 0.769		  20  3  22
  22		 1.147	-0.131		 1.844	-1.507	-0.564		  21  13  23
  23		 0.182	-0.318		 2.481	-0.277	-0.599		  22  15  24
  24		-0.186	 0.317		 2.48 	 0.271	 0.607		  23  17  20
  25		 3.716	 0    		-2.001	-1.384	-0.127		  2  26  30
  26		 1.858	 3.218		-2.003	-0.816	 1.122		  25  4  27
  27		-1.857	 3.218		-2.098	 0.581	 1.27 		  26  6  28
  28		-3.715	 0    		-1.998	 1.389	 0.121		  27  8  29
  29		-1.857	-3.217		-1.997	 0.821	-1.129		  28  10  30
  30		 1.858	-3.217		-2.095	-0.576	-1.277		  29  12  25
