   1		 3.837	 0.044		-1.903	-1.412	 0.049		  12  13  2
   2		 1.897	-3.316		-1.891	-0.739	-1.223		  1  3  23
   3		-1.983	-3.316		-1.978	 0.681	-1.2  		  2  20  4
   4		-1.586	-2.476		-0.883	 1.206	-1.892		  3  5  24
   5		-2.129	-1.06 		-0.202	 2.12 	-1.04 		  4  19  6
   6		-1.505	-0.699		 1.197	 1.877	-0.812		  5  7  26
   7		-1.27 	 0.222		 1.61 	 1.713	 0.54 		  6  17  8
   8		-0.213	 0.396		 2.269	 0.486	 0.659		  7  9  27
   9		 0.396	 1.157		 1.64 	-0.269	 1.69 		  8  16  10
  10		 1.263	 0.984		 1.159	-1.578	 1.336		  9  11  29
  11		 1.92 	 1.402		-0.224	-1.834	 1.55 		  10  14  12
  12		 2.946	 0.12 		-0.793	-2.252	 0.343		  11  1  30
  13		 1.897	 3.404		-2.113	-0.648	 1.215		  1  14  21
  14		 1.385	 2.622		-1.063	-0.915	 2.128		  13  11  15
  15		-0.061	 2.412		-0.573	 0.295	 2.592		  14  16  22
  16		-0.265	 1.667		 0.756	 0.627	 2.323		  15  9  17
  17		-1.35 	 1.048		 0.743	 1.843	 1.596		  16  7  18
  18		-2.092	 1.221		-0.577	 2.209	 1.385		  17  19  22
  19		-2.978	 0.064		-1.048	 2.293	 0.074		  18  5  20
  20		-3.923	 0.044		-2.135	 1.391	-0.036		  19  3  21
  21		-1.983	 3.404		-2.281	 0.737	 1.176		  20  13  22
  22		-1.53 	 2.593		-1.361	 1.286	 2.044		  21  15  18
  23		 1.413	-2.59 		-0.858	-1.036	-2.134		  2  24  31
  24		-0.224	-2.378		-0.24 	 0.176	-2.531		  23  4  25
  25		-0.151	-1.697		 1.132	 0.022	-2.419		  24  26  32
  26		-0.717	-1.07 		 1.827	 0.837	-1.524		  25  6  27
  27		 0    	-0.314		 2.477	-0.018	-0.6  		  26  8  28
  28		 0.788	-0.452		 2.135	-1.326	-0.903		  27  29  32
  29		 1.459	 0.057		 1.436	-2.073	 0.045		  28  10  30
  30		 2.235	-0.577		 0.219	-2.477	-0.557		  29  12  31
  31		 1.704	-1.588		 0.164	-1.937	-1.831		  30  23  32
  32		 0.819	-1.33 		 1.361	-1.286	-2.044		  31  25  28
